
"Traffic","Data_Packet_Injection_Rate_(packets/cycle/node)","Routing_Algorithm","Selection_Policy","Routing+Selection","Ant_Packet_Injection_Rate_(packets/cycle/node)","Alpha","Reinforcement_Factor","Routing+Selection/Alpha/Reinforcement_Factor","Routing+Selection/Ant_Packet_Injection_Rate/Alpha/Reinforcement_Factor","Simulation_Time","Total_Cycles","Packets_Transmitted","Throughput_(packets/cycle/node)","Average_Packet_Delay_(cycles)","Average_Packet_Hops","Payload_Packets_Transmitted","Payload_Throughput_(packets/cycle/node)","Average_Payload_Packet_Delay_(cycles)","Average_Payload_Packet_Hops","Average_Flit_per_State_Delay::INPUT_BUFFER","Max_Flit_per_State_Delay::INPUT_BUFFER","Average_Flit_per_State_Delay::ROUTE_CALCULATION","Max_Flit_per_State_Delay::ROUTE_CALCULATION","Average_Flit_per_State_Delay::VIRTUAL_CHANNEL_ALLOCATION","Max_Flit_per_State_Delay::VIRTUAL_CHANNEL_ALLOCATION","Average_Flit_per_State_Delay::SWITCH_ALLOCATION","Max_Flit_per_State_Delay::SWITCH_ALLOCATION","Average_Flit_per_State_Delay::SWITCH_TRAVERSAL","Max_Flit_per_State_Delay::SWITCH_TRAVERSAL","Average_Flit_per_State_Delay::LINK_TRAVERSAL","Max_Flit_per_State_Delay::LINK_TRAVERSAL","Average_Flit_per_State_Delay::DESTINATION_ARRIVED","Max_Flit_per_State_Delay::DESTINATION_ARRIVED"
"transpose","0.06","xy","random","xy+random","","","","xy+random","xy+random","0:01:07.120","20000.0","54025.0","0.04220703125","906.8325960203609","5.851494678389634","54025.0","0.04220703125","906.8325960203609","5.851494678389634","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"transpose","0.06","oddEven","bufferLevel","oddEven+bufferLevel","","","","oddEven+bufferLevel","oddEven+bufferLevel","0:00:10.536","20000.0","67070.0","0.0523984375","71.67632324437155","7.005934098702848","67070.0","0.0523984375","71.67632324437155","7.005934098702848","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"transpose","0.06","oddEven","aco","oddEven+aco","2.0E-4","0.45","0.001","oddEven+aco/a=0.45/rf=0.001","oddEven+aco/aj=2.0E-4/a=0.45/rf=0.001","0:00:10.579","20000.0","67582.0","0.0527984375","68.12176319138231","6.998905033884762","67165.0","0.05247265625","68.17695228169434","6.999732003275516","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"transpose","0.06","oddEven","aco","oddEven+aco","0.001","0.45","0.001","oddEven+aco/a=0.45/rf=0.001","oddEven+aco/aj=0.001/a=0.45/rf=0.001","0:00:11.242","20000.0","69471.0","0.05427421875","72.13286119387946","7.000403045875257","67152.0","0.0524625","72.58577555396712","6.999910650464618","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"transpose","0.06","oddEven","aco","oddEven+aco","0.005","0.45","0.001","oddEven+aco/a=0.45/rf=0.001","oddEven+aco/aj=0.005/a=0.45/rf=0.001","0:00:13.130","20000.0","78101.0","0.06101640625","93.33582156438457","6.994417485051407","67023.0","0.05236171875","95.69529862882891","6.996807066230995","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"transpose","0.06","oddEven","aco","oddEven+aco","0.025","0.45","0.001","oddEven+aco/a=0.45/rf=0.001","oddEven+aco/aj=0.025/a=0.45/rf=0.001","0:00:19.140","20000.0","121364.0","0.094815625","182.52488382057282","6.977159618997396","66380.0","0.051859375","191.34761976498945","6.976890629707743","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
