
"Data_Packet_Traffic","Data_Packet_Injection_Rate_(packets/cycle/node)","Routing_Algorithm","Selection_Policy","Routing+Selection","Ant_Packet_Traffic","Ant_Packet_Injection_Rate_(packets/cycle/node)","Alpha","Reinforcement_Factor","NoC_Routing_Solution","Simulation_Time","Total_Cycles","Packets_Transmitted","Throughput_(packets/cycle/node)","Avg._Packet_Delay_(cycles)","Avg._Packet_Hops","Payload_Packets_Transmitted","Payload_Throughput_(packets/cycle/node)","Avg._Payload_Packet_Delay_(cycles)","Avg._Payload_Packet_Hops","Average_Flit_per_State_Delay::INPUT_BUFFER","Max_Flit_per_State_Delay::INPUT_BUFFER","Average_Flit_per_State_Delay::ROUTE_COMPUTATION","Max_Flit_per_State_Delay::ROUTE_COMPUTATION","Average_Flit_per_State_Delay::VIRTUAL_CHANNEL_ALLOCATION","Max_Flit_per_State_Delay::VIRTUAL_CHANNEL_ALLOCATION","Average_Flit_per_State_Delay::SWITCH_ALLOCATION","Max_Flit_per_State_Delay::SWITCH_ALLOCATION","Average_Flit_per_State_Delay::SWITCH_TRAVERSAL","Max_Flit_per_State_Delay::SWITCH_TRAVERSAL","Average_Flit_per_State_Delay::LINK_TRAVERSAL","Max_Flit_per_State_Delay::LINK_TRAVERSAL","Average_Flit_per_State_Delay::DESTINATION_ARRIVED","Max_Flit_per_State_Delay::DESTINATION_ARRIVED"
"transpose","0.06","xy","random","xy+random","uniform","","","","XY","127","33643","67518","0.03135774901168148","3076.3586895346425","7.001125625759057","67518","0.03135774901168148","3076.3586895346425","7.001125625759057","10.957345748484245","1029","5.45614361690875","794","1.2038345511548503","5","1.0","1","2.2108791585396297","672","16.01494197697836","1607","0.0","0.0"
"transpose","0.06","oddEven","bufferLevel","oddEven+bufferLevel","uniform","","","","BL","29","20193","67277","0.05205779849452781","71.81992359944707","7.011118212762162","67277","0.05205779849452781","71.81992359944707","7.011118212762162","4.078377716579003","129","1.6773559585063824","75","1.2384674582933173","6","1.0","1","1.103525749066648","80","3.28039180534606","188","0.0","0.0"
"transpose","0.06","oddEven","aco","oddEven+aco","uniform","2.0E-4","0.45","0.001","ACO/aj=2.0E-4/a=0.45/rf=0.001","24","20109","68288","0.053060818538962655","61.78864514995314","6.979264292408622","67744","0.05263812223382565","61.91005845536136","6.984087151629665","3.6113671485609102","84","1.511107847251364","53","1.23973562736047","5","1.0","1","1.03775125396231","55","2.333072940712971","119","0.0","0.0"
"transpose","0.06","oddEven","aco","oddEven+aco","uniform","0.001","0.45","0.001","ACO/aj=0.001/a=0.45/rf=0.001","33","20246","69880","0.05393040600612466","93.08594733829422","6.949513451631368","67206","0.05186672676084165","94.13741332619111","6.971401362973544","5.035535260301439","168","1.9398351014760147","110","1.241223807327359","5","1.0","1","1.2447435268338698","101","5.650577207793571","211","0.0","0.0"
"transpose","0.06","oddEven","aco","oddEven+aco","uniform","0.005","0.45","0.001","ACO/aj=0.005/a=0.45/rf=0.001","24","20169","80196","0.062128142198423324","70.62341014514439","6.884034116414783","67412","0.05222432941643115","74.04769180561324","6.989111730849107","4.113257953866708","102","1.647598501644713","61","1.2460929009259663","6","1.0","1","1.0948379107433037","63","3.462974647820378","137","0.0","0.0"
"transpose","0.06","oddEven","aco","oddEven+aco","uniform","0.025","0.45","0.001","ACO/aj=0.025/a=0.45/rf=0.001","46","20304","130801","0.10065827546296297","109.02866186038332","6.652066880222629","67311","0.05179936835106383","124.67662046322295","6.988174295434624","6.172941908786449","205","2.029616238189535","122","1.2671690627596692","7","1.0","1","1.3694560852869493","126","8.085329478071918","252","0.0","0.0"
