L2 Size,L2 Assoc,Total Cycles,Speedup,IPC,Main Thread Hit,Main Thread Miss,L2 Hit Ratio,L2 Evictions,L2 Occupancy Ratio
96 KB,8,1633435251,1.0000,0.5590,1211509,6492606,0.1570,679,0.4620
128 KB,8,1633396595,1.0000,0.5590,1211499,6492274,0.1570,0,0.4490
256 KB,8,1633396595,1.0000,0.5590,1211499,6492274,0.1570,0,0.2250
512 KB,8,1633396595,1.0000,0.5590,1211499,6492274,0.1570,0,0.1120
1 MB,8,1633396595,1.0000,0.5590,1211499,6492274,0.1570,0,0.0560
2 MB,8,1633396595,1.0000,0.5590,1211499,6492274,0.1570,0,0.0280
