L2 Size,L2 Assoc,L2 Repl,Lookahead,Stride,Total Cycles,Speedup,IPC,Main Thread Hit,Main Thread Miss,L2 Hit Ratio,L2 Evictions,L2 Occupancy Ratio,Helper Thread Hit,Helper Thread Miss,Helper Thread Accuracy,Helper Thread Coverage,Redundant MSHR,Redundant Cache,Timely,Late,Bad,Ugly
96 KB,8,LRU,0,640,4160125472,1.0000,0.2320,10521259,2276618,0.4740,10817,0.5610,981976,10486294,0.822,0.914,974512,7464,16787,10466805,12,1026
96 KB,8,LRU,5,640,4133023472,1.0066,0.2330,11036291,1763420,0.4700,47051,0.5770,317836,11054412,0.862,0.967,308190,9646,139373,10857502,231,17187
96 KB,8,LRU,10,640,4103085495,1.0139,0.2350,10818296,1984463,0.4620,111996,0.5870,288695,10975671,0.844,0.957,274884,13811,278222,10498201,843,51489
96 KB,8,LRU,20,640,4045427514,1.0284,0.2380,10336127,2471894,0.4440,208978,0.6050,259658,10797771,0.806,0.93,243155,16503,537297,9751227,1379,103373
96 KB,8,LRU,40,640,3936746491,1.0567,0.2460,9205861,3615464,0.4000,299292,0.6520,200226,10467297,0.717,0.857,174860,25366,1016278,8126482,1899,149123
96 KB,8,LRU,80,640,3792358468,1.0970,0.2780,5063364,7838881,0.2280,442274,0.6420,143132,9830787,0.385,0.493,41439,101693,1655521,3260517,2135,204787
96 KB,8,LRU,160,640,3872291468,1.0743,0.3400,1638409,11457490,0.0850,430492,0.6070,296926,9356668,0.101,0.133,522,296404,1284736,3112,1403,186272
