L2 Size,L2 Assoc,L2 Repl,Lookahead,Stride,Total Cycles,Speedup,IPC,Main Thread Hit,Main Thread Miss,L2 Hit Ratio,L2 Evictions,L2 Occupancy Ratio,Helper Thread Hit,Helper Thread Miss,Helper Thread Accuracy,Helper Thread Coverage,Redundant MSHR,Redundant Cache,Timely,Late,Bad,Ugly
96 KB,8,LRU,5,10,3436181472,1.0000,0.2770,7802003,5195324,0.3670,926784,0.5920,282489,8772796,0.594,0.839,127519,154970,3280589,4316588,4803,370426
96 KB,8,LRU,10,10,3308882518,1.0385,0.2900,4932347,8090264,0.2380,2011590,0.5940,198554,8333553,0.369,0.554,34937,163617,4078282,647843,16498,1050437
96 KB,8,LRU,20,10,3323736491,1.0338,0.2990,4105024,8920817,0.2000,1573304,0.6070,198931,8329835,0.303,0.455,11237,187694,3870340,6640,12663,862381
96 KB,8,LRU,40,10,3421415491,1.0043,0.3130,3604516,9434888,0.1770,498321,0.6520,244536,8510130,0.261,0.38,29528,215008,3325803,795,1234,239299
96 KB,8,LRU,80,10,3792521468,0.9060,0.3290,2047038,11098129,0.1050,458497,0.6420,354892,9275060,0.13,0.172,598,354294,1655905,665,1289,202449
96 KB,8,LRU,160,10,3873971468,0.8870,0.4050,1807027,11473826,0.1030,415749,0.6060,503199,8563831,0.098,0.138,503,502696,1251280,518,1143,186969
96 KB,8,LRU,320,10,3946817491,0.8706,0.5400,1663599,11815431,0.1120,336415,0.5860,718910,7048220,0.067,0.11,362,718548,852043,403,1390,151641
