L2 Size,L2 Assoc,Lookahead,Stride,Total Cycles,Speedup,IPC,Main Thread Hit,Main Thread Miss,L2 Hit Ratio,L2 Evictions,L2 Occupancy Ratio,Helper Thread Hit,Helper Thread Miss,Redundant MSHR,Redundant Cache,Timely,Late,Bad,Ugly
96 KB,8,0,320,4160011472,1.0000,0.2320,9729590,3071549,0.4740,10835,0.5610,1780207,9691384,1772633,7574,16798,9671882,18,1015
96 KB,8,5,320,4115769472,1.0107,0.2340,10962444,1842207,0.4670,75498,0.5760,298174,11015826,283120,15054,217850,10701929,424,29432
96 KB,8,10,320,4064315495,1.0235,0.2370,10546446,2263268,0.4520,201715,0.5870,267372,10860236,249587,17785,459617,10041465,1544,97449
96 KB,8,20,320,3965497514,1.0491,0.2430,9676810,3142507,0.4190,388743,0.6050,220222,10555995,198065,22157,909684,8715214,2746,199692
96 KB,8,40,320,3788963491,1.0979,0.2580,7720991,5121448,0.3430,516053,0.6500,151962,9972566,110356,41606,1689706,5954542,3729,265759
96 KB,8,80,320,3683121468,1.1295,0.2990,2703261,10244350,0.1270,500246,0.6420,149213,9350594,5186,144027,2151150,361696,1628,227961
96 KB,8,160,320,3877483468,1.0729,0.3490,1636561,11483746,0.0860,423070,0.6080,325250,9248921,785,324465,1259174,620,1230,184141
96 KB,8,320,320,3957834491,1.0511,0.4560,1493479,11855901,0.0940,340783,0.5890,574229,8116105,1581,572648,838169,496,1293,148557
96 KB,8,640,320,4009253468,1.0376,0.6610,1477359,12103103,0.1140,219777,0.5640,815490,5650022,279,815211,514638,292,892,88366
