L2 Size,L2 Assoc,L2 Repl,Lookahead,Stride,Total Cycles,Speedup,IPC,Main Thread Hit,Main Thread Miss,L2 Hit Ratio,L2 Evictions,L2 Occupancy Ratio,Helper Thread Hit,Helper Thread Miss,Helper Thread Accuracy,Helper Thread Coverage,Redundant MSHR,Redundant Cache,Timely,Late,Bad,Ugly
96 KB,8,LRU,0,20,4160821472,1.0000,0.2340,4260733,8646140,0.4790,10970,0.5610,7462792,4117300,0.322,0.355,7399458,63334,17037,4097046,14,1049
96 KB,8,LRU,5,20,3673901493,1.1325,0.2600,8675315,4243323,0.3910,766035,0.5810,207847,9618663,0.668,0.87,112812,95035,2232392,6314162,4523,330499
96 KB,8,LRU,10,20,3364027470,1.2369,0.2830,5606210,7337368,0.2650,1716310,0.5930,135087,8552923,0.427,0.63,42908,92179,3763230,1712208,14187,869735
96 KB,8,LRU,20,20,3327230514,1.2505,0.2940,4167242,8784398,0.2000,1722097,0.6060,120386,8394008,0.314,0.472,11871,108515,3874733,144777,13182,933081
96 KB,8,LRU,40,20,3395108491,1.2255,0.3070,3645938,9316080,0.1760,556008,0.6520,162917,8508696,0.27,0.398,8681,154236,3447826,954,1855,273072
96 KB,8,LRU,80,20,3794161468,1.0966,0.3150,1958741,11104916,0.0980,458064,0.6410,269839,9450691,0.129,0.17,642,269197,1650868,690,1317,201080
96 KB,8,LRU,160,20,3873833468,1.0741,0.3810,1735205,11473262,0.0960,415331,0.6070,426155,8852978,0.099,0.135,544,425611,1254500,605,1135,185637
96 KB,8,LRU,320,20,3946702491,1.0543,0.5050,1608469,11814802,0.1050,336839,0.5860,658515,7488572,0.068,0.105,371,658144,856566,415,1430,150483
96 KB,8,LRU,640,20,3998595468,1.0406,0.7180,1560554,12063012,0.1250,217365,0.5640,863125,4926215,0.042,0.091,263,862862,525097,256,864,86240
