L2 Size,L2 Assoc,Lookahead,Stride,Total Cycles,Speedup,IPC,Main Thread Hit,Main Thread Miss,L2 Hit Ratio,L2 Evictions,L2 Occupancy Ratio,Helper Thread Hit,Helper Thread Miss,Redundant MSHR,Redundant Cache,Timely,Late,Bad,Ugly
96 KB,8,80,5,3792939468,1.0000,0.3550,2198013,11099265,0.1190,457852,0.6410,513462,8962481,660,512802,1653201,562,1283,204174
96 KB,8,80,10,3792510468,1.0001,0.3290,2046990,11098220,0.1050,458832,0.6420,354874,9275048,611,354263,1655855,666,1325,202484
96 KB,8,80,20,3794161468,0.9997,0.3150,1958741,11104916,0.0980,458064,0.6410,269839,9450691,642,269197,1650868,690,1317,201080
96 KB,8,80,40,3790939468,1.0005,0.3080,1929968,11090029,0.0950,452715,0.6420,226957,9532173,7506,219451,1667802,790,1156,197008
96 KB,8,80,80,3775910468,1.0045,0.3040,1972639,11021339,0.0950,449200,0.6410,197329,9545364,1552,195777,1738861,899,1165,194991
96 KB,8,80,160,3743761468,1.0131,0.3010,2114200,10858758,0.1010,440063,0.6410,172747,9494474,1366,171381,1882542,18650,1152,190753
96 KB,8,80,320,3683121468,1.0298,0.2990,2703261,10244350,0.1270,500246,0.6420,149213,9350594,5186,144027,2151150,361696,1628,227961
96 KB,8,80,640,3792358468,1.0002,0.2780,5063364,7838881,0.2280,442274,0.6420,143132,9830787,41439,101693,1655521,3260517,2135,204787
