L2 Size,L2 Assoc,Lookahead,Stride,Total Cycles,Speedup,IPC,Main Thread Hit,Main Thread Miss,L2 Hit Ratio,L2 Evictions,L2 Occupancy Ratio,Helper Thread Hit,Helper Thread Miss,Redundant MSHR,Redundant Cache,Timely,Late,Bad,Ugly
96 KB,8,0,40,4160031472,1.0000,0.2330,5390145,7458620,0.4760,10934,0.5610,6215736,5304645,6206307,9429,16931,5284761,14,1034
96 KB,8,5,40,3891857472,1.0689,0.2460,9813460,3050698,0.4290,427259,0.5790,230294,10332061,173690,56604,1238370,8489215,2478,181683
96 KB,8,10,40,3607176495,1.1533,0.2650,7216310,5675172,0.3280,1250871,0.5900,136663,9386710,78029,58634,2605973,4520555,10340,633342
96 KB,8,20,40,3343432514,1.2442,0.2900,4394972,8519553,0.2090,1771316,0.6050,84301,8469870,13779,70522,3816176,471141,13621,944947
96 KB,8,40,40,3369035491,1.2348,0.3020,3752138,9166291,0.1800,731111,0.6530,112390,8482925,5135,107255,3577720,26566,3443,369806
96 KB,8,80,40,3790939468,1.0974,0.3080,1929968,11090029,0.0950,452715,0.6420,226957,9532173,7506,219451,1667802,790,1156,197008
96 KB,8,160,40,3873972468,1.0738,0.3680,1695241,11472876,0.0920,409450,0.6070,386774,9013746,38996,347778,1259016,689,1092,180400
96 KB,8,320,40,3947383491,1.0539,0.4830,1572893,11817631,0.1010,330929,0.5870,624623,7750112,476,624147,862592,509,1309,143541
96 KB,8,640,40,3999976468,1.0400,0.6920,1534782,12068553,0.1210,212489,0.5640,842997,5250382,317,842680,538050,327,734,82223
