L2 Size,L2 Assoc,L2 Repl,Lookahead,Stride,Total Cycles,Speedup,IPC,Main Thread Hit,Main Thread Miss,L2 Hit Ratio,L2 Evictions,L2 Occupancy Ratio,Helper Thread Hit,Helper Thread Miss,Helper Thread Accuracy,Helper Thread Coverage,Redundant MSHR,Redundant Cache,Timely,Late,Bad,Ugly
96 KB,8,LRU,40,5,3420467491,1.0000,0.3270,3751731,9433042,0.1890,479648,0.6500,396346,8342952,0.261,0.381,75735,320610,3325683,724,1018,229478
96 KB,8,LRU,40,10,3421415491,0.9997,0.3130,3604516,9434888,0.1770,498321,0.6520,244536,8510130,0.261,0.38,29528,215008,3325803,795,1234,239299
96 KB,8,LRU,40,20,3395108491,1.0075,0.3070,3645938,9316080,0.1760,556008,0.6520,162917,8508696,0.27,0.398,8681,154236,3447826,954,1855,273072
96 KB,8,LRU,40,40,3369035491,1.0153,0.3020,3752138,9166291,0.1800,731111,0.6530,112390,8482925,0.282,0.419,5135,107255,3577720,26566,3443,369806
96 KB,8,LRU,40,80,3378286491,1.0125,0.2980,3851216,9050853,0.1830,975821,0.6500,88731,8528897,0.292,0.432,6961,81770,3557740,167824,6071,512597
96 KB,8,LRU,40,160,3544707491,0.9650,0.2800,5322163,7553086,0.2450,866655,0.6520,92761,9127953,0.409,0.567,35019,57742,2804629,2419292,6473,453188
96 KB,8,LRU,40,320,3788963491,0.9027,0.2580,7720991,5121448,0.3430,516053,0.6500,151962,9972566,0.599,0.755,110356,41606,1689706,5954542,3729,265759
96 KB,8,LRU,40,640,3936746491,0.8689,0.2460,9205861,3615464,0.4000,299292,0.6520,200226,10467297,0.717,0.857,174860,25366,1016278,8126482,1899,149123
