L2 Size,L2 Assoc,Lookahead,Stride,Total Cycles,Speedup,IPC,Main Thread Hit,Main Thread Miss,L2 Hit Ratio,L2 Evictions,L2 Occupancy Ratio,Helper Thread Hit,Helper Thread Miss,Redundant MSHR,Redundant Cache,Timely,Late,Bad,Ugly
96 KB,8,0,5,4126908472,1.0000,0.2430,2430365,10890263,0.4910,18058,0.5800,9948285,1922699,9391235,557050,170815,1694802,30,1922
96 KB,8,0,20,4160821472,0.9918,0.2340,4260733,8646140,0.4790,10970,0.5610,7462792,4117300,7399458,63334,17037,4097046,14,1049
96 KB,8,0,40,4160031472,0.9920,0.2330,5390145,7458620,0.4760,10934,0.5610,6215736,5304645,6206307,9429,16931,5284761,14,1034
96 KB,8,0,80,4159754472,0.9921,0.2320,6740426,6080822,0.4750,10858,0.5610,4809856,6682307,4801480,8376,16882,6662609,16,1022
96 KB,8,0,320,4160011472,0.9920,0.2320,9729590,3071549,0.4740,10835,0.5610,1780207,9691384,1772633,7574,16798,9671882,18,1015
96 KB,8,0,640,4160125472,0.9920,0.2320,10521259,2276618,0.4740,10817,0.5610,981976,10486294,974512,7464,16787,10466805,12,1026
