L2 Size,L2 Assoc,Lookahead,Stride,Total Cycles,Speedup,IPC,Main Thread Hit,Main Thread Miss,L2 Hit Ratio,L2 Evictions,L2 Occupancy Ratio,Helper Thread Hit,Helper Thread Miss,Redundant MSHR,Redundant Cache,Timely,Late,Bad,Ugly
96 KB,8,20,10,3323736491,1.0000,0.2990,4105024,8920817,0.2000,1573304,0.6070,198931,8329835,11237,187694,3870340,6640,12663,862381
128 KB,8,20,10,3276685422,1.0144,0.3030,4213878,8742330,0.2060,3667,0.4860,191836,8220627,340,191496,3983129,4482,47,694
256 KB,8,20,10,3276637422,1.0144,0.3030,4213991,8740350,0.2060,1008,0.2590,191867,8220537,327,191540,3983311,4436,40,536
512 KB,8,20,10,3276622703,1.0144,0.3030,4214152,8739942,0.2060,0,0.1510,191919,8220284,359,191560,3983445,4413,0,620
1 MB,8,20,10,3276622703,1.0144,0.3030,4214152,8739942,0.2060,0,0.0760,191919,8220284,359,191560,3983445,4413,0,1193
2 MB,8,20,10,3276622703,1.0144,0.3030,4214152,8739942,0.2060,0,0.0380,191919,8220284,359,191560,3983445,4413,0,1591
