L2 Size,L2 Assoc,Lookahead,Stride,Total Cycles,Speedup,IPC,Main Thread Hit,Main Thread Miss,L2 Hit Ratio,L2 Evictions,L2 Occupancy Ratio,Helper Thread Hit,Helper Thread Miss,Redundant MSHR,Redundant Cache,Timely,Late,Bad,Ugly
96 KB,8,20,5,3329722514,1.0000,0.3070,4211650,8958730,0.2090,1488130,0.6140,351374,8263101,29463,321910,3833663,1871,12559,815164
96 KB,8,20,10,3323736491,1.0018,0.2990,4105024,8920817,0.2000,1573304,0.6070,198931,8329835,11237,187694,3870340,6640,12663,862381
96 KB,8,20,20,3327230514,1.0007,0.2940,4167242,8784398,0.2000,1722097,0.6060,120386,8394008,11871,108515,3874733,144777,13182,933081
96 KB,8,20,40,3343432514,0.9959,0.2900,4394972,8519553,0.2090,1771316,0.6050,84301,8469870,13779,70522,3816176,471141,13621,944947
96 KB,8,20,80,3566344514,0.9337,0.2710,6314162,6562529,0.2890,1247969,0.6050,103106,9246670,58057,45049,2763513,3470468,9682,655205
96 KB,8,20,160,3818887514,0.8719,0.2530,8443136,4397561,0.3730,702469,0.6040,166865,10080711,135217,31648,1589585,6791359,5427,366784
96 KB,8,20,320,3965497514,0.8397,0.2430,9676810,3142507,0.4190,388743,0.6050,220222,10555995,198065,22157,909684,8715214,2746,199692
