L2 Size,L2 Assoc,Lookahead,Stride,Total Cycles,Speedup,IPC,Main Thread Hit,Main Thread Miss,L2 Hit Ratio,L2 Evictions,L2 Occupancy Ratio,Helper Thread Hit,Helper Thread Miss,Redundant MSHR,Redundant Cache,Timely,Late,Bad,Ugly
96 KB,8,0,5,4126908472,1.0000,0.2430,2430365,10890263,0.4910,18058,0.5800,9948285,1922699,9391235,557050,170815,1694802,30,1922
96 KB,8,5,5,3291862516,1.2537,0.2890,7728955,5406329,0.3790,696288,0.5880,532119,8152493,227495,304624,3797288,3583129,3936,186979
96 KB,8,10,5,3287752493,1.2552,0.2960,4652190,8512381,0.2300,2143507,0.5900,338180,8206634,33876,304304,4158006,142410,18534,1179937
96 KB,8,20,5,3329722514,1.2394,0.3070,4211650,8958730,0.2090,1488130,0.6140,351374,8263101,29463,321910,3833663,1871,12559,815164
96 KB,8,40,5,3420467491,1.2065,0.3270,3751731,9433042,0.1890,479648,0.6500,396346,8342952,75735,320610,3325683,724,1018,229478
96 KB,8,80,5,3792939468,1.0881,0.3550,2198013,11099265,0.1190,457852,0.6410,513462,8962481,660,512802,1653201,562,1283,204174
96 KB,8,160,5,3873975468,1.0653,0.4460,1935073,11473919,0.1160,412715,0.6070,639019,8049889,568,638450,1249128,490,1149,185652
96 KB,8,320,5,3947608491,1.0454,0.5970,1751771,11817268,0.1240,340508,0.5890,814509,6336739,343,814166,847717,316,1345,156182
96 KB,8,640,5,3999191468,1.0319,0.8120,1630259,12068215,0.1400,233207,0.5640,938217,3748644,201,938016,505707,166,884,93879
