L2 Size,L2 Assoc,L2 Repl,Lookahead,Stride,Total Cycles,Speedup,IPC,Main Thread Hit,Main Thread Miss,L2 Hit Ratio,L2 Evictions,L2 Occupancy Ratio,Helper Thread Hit,Helper Thread Miss,Helper Thread Accuracy,Helper Thread Coverage,Redundant MSHR,Redundant Cache,Timely,Late,Bad,Ugly
96 KB,8,LRU,5,5,3291862516,1.0000,0.2890,7728955,5406329,0.3790,696288,0.5880,532119,8152493,0.577,0.85,227495,304624,3797288,3583129,3936,186979
96 KB,8,LRU,5,10,3436181472,0.9580,0.2770,7802003,5195324,0.3670,926784,0.5920,282489,8772796,0.594,0.839,127519,154970,3280589,4316588,4803,370426
96 KB,8,LRU,5,20,3673901493,0.8960,0.2600,8675315,4243323,0.3910,766035,0.5810,207847,9618663,0.668,0.87,112812,95035,2232392,6314162,4523,330499
96 KB,8,LRU,5,40,3891857472,0.8458,0.2460,9813460,3050698,0.4290,427259,0.5790,230294,10332061,0.761,0.921,173690,56604,1238370,8489215,2478,181683
96 KB,8,LRU,5,80,4015405472,0.8198,0.2390,10461222,2370503,0.4500,234480,0.5770,254662,10721841,0.814,0.947,222589,32073,675633,9723873,1367,98263
96 KB,8,LRU,5,320,4115769472,0.7998,0.2340,10962444,1842207,0.4670,75498,0.5760,298174,11015826,0.856,0.965,283120,15054,217850,10701929,424,29432
96 KB,8,LRU,5,640,4133023472,0.7965,0.2330,11036291,1763420,0.4700,47051,0.5770,317836,11054412,0.862,0.967,308190,9646,139373,10857502,231,17187
