L2 Size,L2 Assoc,Total Cycles,Speedup,IPC,Main Thread Hit,Main Thread Miss,L2 Hit Ratio,L2 Evictions,L2 Occupancy Ratio
98304,2,1663177184,1.0000,0.5490,1227771,6652143,0.1560,584775,0.4060
98304,4,1634101811,1.0178,0.5590,1211783,6499688,0.1570,15051,0.4280
98304,8,1633435251,1.0182,0.5590,1211509,6492606,0.1570,679,0.4620
98304,16,1633401167,1.0182,0.5590,1211499,6492335,0.1570,166,0.5440
98304,32,1633396825,1.0182,0.5590,1211499,6492275,0.1570,15,0.5900
