L2 Size,L2 Assoc,Lookahead,Stride,Total Cycles,Speedup,IPC,Main Thread Hit,Main Thread Miss,L2 Hit Ratio,L2 Evictions,L2 Occupancy Ratio,Helper Thread Hit,Helper Thread Miss,Redundant MSHR,Redundant Cache,Timely,Late,Bad,Ugly
96 KB,2,20,10,3375728053,1.0000,0.2960,3808745,9339129,0.1830,4490549,0.5290,214714,8570405,28156,186558,3570356,6552,16219,1939057
96 KB,4,20,10,3353819652,1.0065,0.2980,3952682,9111809,0.1910,2851592,0.5700,206181,8457461,20359,185822,3717897,4777,21284,1351399
96 KB,8,20,10,3323736491,1.0156,0.2990,4105024,8920817,0.2000,1573304,0.6070,198931,8329835,11237,187694,3870340,6640,12663,862381
96 KB,16,20,10,3277232422,1.0301,0.3030,4215025,8749887,0.2060,51654,0.6440,192352,8225356,443,191909,3984572,4566,30,3500
96 KB,32,20,10,3276663422,1.0302,0.3030,4214238,8740076,0.2060,695,0.6460,191949,8220386,350,191599,3983459,4459,4,63
