L2 Size,L2 Assoc,Lookahead,Stride,Total Cycles,Speedup,IPC,Main Thread Hit,Main Thread Miss,L2 Hit Ratio,L2 Evictions,L2 Occupancy Ratio,Helper Thread Hit,Helper Thread Miss,Redundant MSHR,Redundant Cache,Timely,Late,Bad,Ugly
96 KB,8,10,80,3848980495,1.0000,0.2490,8986018,3863233,0.3950,699184,0.5870,194314,10178206,157377,36937,1470066,7450202,5688,350562
96 KB,8,20,80,3566344514,1.0793,0.2710,6314162,6562529,0.2890,1247969,0.6050,103106,9246670,58057,45049,2763513,3470468,9682,655205
96 KB,8,40,80,3378286491,1.1393,0.2980,3851216,9050853,0.1830,975821,0.6500,88731,8528897,6961,81770,3557740,167824,6071,512597
96 KB,8,80,80,3775910468,1.0194,0.3040,1972639,11021339,0.0950,449200,0.6410,197329,9545364,1552,195777,1738861,899,1165,194991
96 KB,8,160,80,3876948468,0.9928,0.3600,1661341,11485169,0.0890,409455,0.6070,361944,9119657,4070,357874,1250904,691,1176,178551
96 KB,8,320,80,3950948491,0.9742,0.4710,1540191,11831889,0.0980,329344,0.5870,604586,7911920,517,604069,854251,553,1285,141422
