L2 Size,L2 Assoc,Lookahead,Stride,Total Cycles,Speedup,IPC,Main Thread Hit,Main Thread Miss,L2 Hit Ratio,L2 Evictions,L2 Occupancy Ratio,Helper Thread Hit,Helper Thread Miss,Redundant MSHR,Redundant Cache,Timely,Late,Bad,Ugly
98304,8,10,10,3308882518,1.0000,0.2900,4932347,8090264,0.2380,2011590,0.5940,198554,8333553,34937,163617,4078282,647843,16498,1050437
98304,8,10,20,3364027470,0.9836,0.2830,5606210,7337368,0.2650,1716310,0.5930,135087,8552923,42908,92179,3763230,1712208,14187,869735
98304,8,10,40,3607176495,0.9173,0.2650,7216310,5675172,0.3280,1250871,0.5900,136663,9386710,78029,58634,2605973,4520555,10340,633342
98304,8,10,80,3848980495,0.8597,0.2490,8986018,3863233,0.3950,699184,0.5870,194314,10178206,157377,36937,1470066,7450202,5688,350562
98304,8,10,160,3988579495,0.8296,0.2410,9999283,2824302,0.4320,384328,0.5870,237214,10625795,213347,23867,815648,9131284,3130,191144
98304,8,10,320,4064315495,0.8141,0.2370,10546446,2263268,0.4520,201715,0.5870,267372,10860236,249587,17785,459617,10041465,1544,97449
