
"Traffic","Data Packet Injection Rate (packets/cycle/node)","Routing Algorithm","Selection Policy","Ant Packet Injection Rate (packets/cycle/node)","Alpha","Reinforcement Factor","Simulation Time","Total Cycles","Packets Transmitted","Throughput (packets/cycle/node)","Average Packet Delay (cycles)","Average Packet Hops","Payload Packets Transmitted","Payload Throughput (packets/cycle/node)","Average Payload Packet Delay (cycles)","Average Payload Packet Hops","Average Flit per State Delay::INPUT_BUFFER","Max Flit per State Delay::INPUT_BUFFER","Average Flit per State Delay::ROUTE_CALCULATION","Max Flit per State Delay::ROUTE_CALCULATION","Average Flit per State Delay::VIRTUAL_CHANNEL_ALLOCATION","Max Flit per State Delay::VIRTUAL_CHANNEL_ALLOCATION","Average Flit per State Delay::SWITCH_ALLOCATION","Max Flit per State Delay::SWITCH_ALLOCATION","Average Flit per State Delay::SWITCH_TRAVERSAL","Max Flit per State Delay::SWITCH_TRAVERSAL","Average Flit per State Delay::LINK_TRAVERSAL","Max Flit per State Delay::LINK_TRAVERSAL","Average Flit per State Delay::DESTINATION_ARRIVED","Max Flit per State Delay::DESTINATION_ARRIVED"
"transpose","0.06","oddEven","aco","0.001","0.35","0.064","0:00:17.033","20000.0","66887.0","0.05225546875","209.14437783126766","6.864398164067756","64681.0","0.05053203125","209.2954808985637","6.866019387455358","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"transpose","0.06","oddEven","aco","0.001","0.4","5.0E-4","0:00:11.360","20000.0","69471.0","0.05427421875","72.13286119387946","7.000403045875257","67152.0","0.0524625","72.58577555396712","6.999910650464618","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"transpose","0.06","oddEven","aco","0.001","0.4","0.001","0:00:11.158","20000.0","69471.0","0.05427421875","72.13286119387946","7.000403045875257","67152.0","0.0524625","72.58577555396712","6.999910650464618","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"transpose","0.06","oddEven","aco","0.001","0.4","0.002","0:00:11.072","20000.0","69471.0","0.05427421875","72.13286119387946","7.000403045875257","67152.0","0.0524625","72.58577555396712","6.999910650464618","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"transpose","0.06","oddEven","aco","0.001","0.4","0.004","0:00:11.068","20000.0","69439.0","0.05424921875","72.57631878339262","7.000115209032388","67119.0","0.05243671875","73.03115362267019","6.999582830495091","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"transpose","0.06","oddEven","aco","0.001","0.4","0.008","0:00:11.421","20000.0","69433.0","0.05424453125","71.80967263405009","7.000288047470223","67113.0","0.05243203125","72.26301908721112","6.999761596114016","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"transpose","0.06","oddEven","aco","0.001","0.4","0.016","0:00:11.199","20000.0","69466.0","0.0542703125","68.40160654132957","7.000086373189762","67146.0","0.0524578125","68.78485687903971","6.999553212402824","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"transpose","0.06","oddEven","aco","0.001","0.4","0.032","0:00:11.642","20000.0","69302.0","0.0541421875","77.88609275345588","6.9988456321606884","66994.0","0.0523390625","78.42069439054244","6.997940114040063","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"transpose","0.06","oddEven","aco","0.001","0.4","0.064","0:00:15.633","20000.0","68225.0","0.05330078125","180.90044705020154","6.921143275925247","65973.0","0.05154140625","181.56072938929563","6.922028708714171","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"transpose","0.06","oddEven","aco","0.001","0.45","5.0E-4","0:00:10.957","20000.0","69471.0","0.05427421875","72.13286119387946","7.000403045875257","67152.0","0.0524625","72.58577555396712","6.999910650464618","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"transpose","0.06","oddEven","aco","0.001","0.45","0.001","0:00:11.333","20000.0","69471.0","0.05427421875","72.13286119387946","7.000403045875257","67152.0","0.0524625","72.58577555396712","6.999910650464618","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"transpose","0.06","oddEven","aco","0.001","0.45","0.002","0:00:11.056","20000.0","69471.0","0.05427421875","72.13286119387946","7.000403045875257","67152.0","0.0524625","72.58577555396712","6.999910650464618","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"transpose","0.06","oddEven","aco","0.001","0.45","0.004","0:00:11.314","20000.0","69448.0","0.05425625","72.135223476558","6.9997408132703605","67130.0","0.0524453125","72.58477580813347","6.999344555340384","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
