
"Data_Packet_Traffic","Data_Packet_Injection_Rate_(packets/cycle/node)","Routing_Algorithm","Selection_Policy","Routing+Selection","Ant_Packet_Traffic","Ant_Packet_Injection_Rate_(packets/cycle/node)","Alpha","Reinforcement_Factor","NoC_Routing_Solution","Simulation_Time","Total_Cycles","Packets_Transmitted","Throughput_(packets/cycle/node)","Avg._Packet_Delay_(cycles)","Avg._Packet_Hops","Payload_Packets_Transmitted","Payload_Throughput_(packets/cycle/node)","Avg._Payload_Packet_Delay_(cycles)","Avg._Payload_Packet_Hops","Average_Flit_per_State_Delay::INPUT_BUFFER","Max_Flit_per_State_Delay::INPUT_BUFFER","Average_Flit_per_State_Delay::ROUTE_COMPUTATION","Max_Flit_per_State_Delay::ROUTE_COMPUTATION","Average_Flit_per_State_Delay::VIRTUAL_CHANNEL_ALLOCATION","Max_Flit_per_State_Delay::VIRTUAL_CHANNEL_ALLOCATION","Average_Flit_per_State_Delay::SWITCH_ALLOCATION","Max_Flit_per_State_Delay::SWITCH_ALLOCATION","Average_Flit_per_State_Delay::SWITCH_TRAVERSAL","Max_Flit_per_State_Delay::SWITCH_TRAVERSAL","Average_Flit_per_State_Delay::LINK_TRAVERSAL","Max_Flit_per_State_Delay::LINK_TRAVERSAL","Average_Flit_per_State_Delay::DESTINATION_ARRIVED","Max_Flit_per_State_Delay::DESTINATION_ARRIVED"
"transpose","0.06","xy","random","xy+random","uniform","","","","XY","162","33643","67518","0.03135774901168148","3076.3586895346425","7.001125625759057","67518","0.03135774901168148","3076.3586895346425","7.001125625759057","10.957345748484245","1029","5.45614361690875","794","1.2038345511548503","5","1.0","1","2.2108791585396297","672","16.01494197697836","1607","0.0","0.0"
"transpose","0.06","oddEven","bufferLevel","oddEven+bufferLevel","uniform","","","","BL","12","20193","67277","0.05205779849452781","71.81992359944707","7.011118212762162","67277","0.05205779849452781","71.81992359944707","7.011118212762162","4.078377716579003","129","1.6773559585063824","75","1.2384674582933173","6","1.0","1","1.103525749066648","80","3.28039180534606","188","0.0","0.0"
"transpose","0.06","oddEven","aco","oddEven+aco","uniform","2.0E-4","0.3","5.0E-4","ACO/aj=2.0E-4/a=0.3/rf=5.0E-4","12","20109","68288","0.053060818538962655","61.78864514995314","6.979264292408622","67744","0.05263812223382565","61.91005845536136","6.984087151629665","3.6113671485609102","84","1.511107847251364","53","1.23973562736047","5","1.0","1","1.03775125396231","55","2.333072940712971","119","0.0","0.0"
"transpose","0.06","oddEven","aco","oddEven+aco","uniform","2.0E-4","0.3","0.001","ACO/aj=2.0E-4/a=0.3/rf=0.001","12","20109","68288","0.053060818538962655","61.78864514995314","6.979264292408622","67744","0.05263812223382565","61.91005845536136","6.984087151629665","3.6113671485609102","84","1.511107847251364","53","1.23973562736047","5","1.0","1","1.03775125396231","55","2.333072940712971","119","0.0","0.0"
"transpose","0.06","oddEven","aco","oddEven+aco","uniform","2.0E-4","0.3","0.002","ACO/aj=2.0E-4/a=0.3/rf=0.002","28","20109","68288","0.053060818538962655","61.78864514995314","6.979264292408622","67744","0.05263812223382565","61.91005845536136","6.984087151629665","3.6113671485609102","84","1.511107847251364","53","1.23973562736047","5","1.0","1","1.03775125396231","55","2.333072940712971","119","0.0","0.0"
"transpose","0.06","oddEven","aco","oddEven+aco","uniform","2.0E-4","0.3","0.004","ACO/aj=2.0E-4/a=0.3/rf=0.004","29","20109","68288","0.053060818538962655","61.78864514995314","6.979264292408622","67744","0.05263812223382565","61.91005845536136","6.984087151629665","3.6113671485609102","84","1.511107847251364","53","1.23973562736047","5","1.0","1","1.03775125396231","55","2.333072940712971","119","0.0","0.0"
"transpose","0.06","oddEven","aco","oddEven+aco","uniform","2.0E-4","0.3","0.008","ACO/aj=2.0E-4/a=0.3/rf=0.008","29","20109","68288","0.053060818538962655","61.78864514995314","6.979264292408622","67744","0.05263812223382565","61.91005845536136","6.984087151629665","3.6113671485609102","84","1.511107847251364","53","1.23973562736047","5","1.0","1","1.03775125396231","55","2.333072940712971","119","0.0","0.0"
"transpose","0.06","oddEven","aco","oddEven+aco","uniform","2.0E-4","0.3","0.016","ACO/aj=2.0E-4/a=0.3/rf=0.016","30","20104","68288","0.05307401512136888","61.83194704779756","6.979264292408622","67744","0.052651213688818144","61.95881554085971","6.984087151629665","3.615352401647688","84","1.5124297104490139","53","1.2403399076793957","5","1.0","1","1.0375434469591085","55","2.336027750589423","119","0.0","0.0"
"transpose","0.06","oddEven","aco","oddEven+aco","uniform","2.0E-4","0.3","0.032","ACO/aj=2.0E-4/a=0.3/rf=0.032","33","20112","68288","0.053052903739061255","66.9412341846298","6.979264292408622","67744","0.05263027048528242","67.08803731695797","6.984087151629665","3.8426858791449323","94","1.5915778430549727","53","1.2437599664288712","5","1.0","1","1.0638832483293688","55","2.8654041010298745","156","0.0","0.0"
"transpose","0.06","oddEven","aco","oddEven+aco","uniform","2.0E-4","0.3","0.064","ACO/aj=2.0E-4/a=0.3/rf=0.064","35","20565","68288","0.05188426938973985","89.93613812089971","6.979264292408622","67744","0.05147094578166788","90.08573452999528","6.984087151629665","4.558566237163698","313","1.939433487201007","196","1.2399979018044482","5","1.0","1","1.1925389901845473","181","4.4397354213989795","341","0.0","0.0"
"transpose","0.06","oddEven","aco","oddEven+aco","uniform","2.0E-4","0.35","5.0E-4","ACO/aj=2.0E-4/a=0.35/rf=5.0E-4","26","20109","68288","0.053060818538962655","61.78864514995314","6.979264292408622","67744","0.05263812223382565","61.91005845536136","6.984087151629665","3.6113671485609102","84","1.511107847251364","53","1.23973562736047","5","1.0","1","1.03775125396231","55","2.333072940712971","119","0.0","0.0"
"transpose","0.06","oddEven","aco","oddEven+aco","uniform","2.0E-4","0.35","0.001","ACO/aj=2.0E-4/a=0.35/rf=0.001","28","20109","68288","0.053060818538962655","61.78864514995314","6.979264292408622","67744","0.05263812223382565","61.91005845536136","6.984087151629665","3.6113671485609102","84","1.511107847251364","53","1.23973562736047","5","1.0","1","1.03775125396231","55","2.333072940712971","119","0.0","0.0"
"transpose","0.06","oddEven","aco","oddEven+aco","uniform","2.0E-4","0.35","0.002","ACO/aj=2.0E-4/a=0.35/rf=0.002","29","20109","68288","0.053060818538962655","61.78864514995314","6.979264292408622","67744","0.05263812223382565","61.91005845536136","6.984087151629665","3.6113671485609102","84","1.511107847251364","53","1.23973562736047","5","1.0","1","1.03775125396231","55","2.333072940712971","119","0.0","0.0"
"transpose","0.06","oddEven","aco","oddEven+aco","uniform","2.0E-4","0.35","0.004","ACO/aj=2.0E-4/a=0.35/rf=0.004","29","20109","68288","0.053060818538962655","61.78864514995314","6.979264292408622","67744","0.05263812223382565","61.91005845536136","6.984087151629665","3.6113671485609102","84","1.511107847251364","53","1.23973562736047","5","1.0","1","1.03775125396231","55","2.333072940712971","119","0.0","0.0"
"transpose","0.06","oddEven","aco","oddEven+aco","uniform","2.0E-4","0.35","0.008","ACO/aj=2.0E-4/a=0.35/rf=0.008","30","20109","68288","0.053060818538962655","61.78864514995314","6.979264292408622","67744","0.05263812223382565","61.91005845536136","6.984087151629665","3.6113671485609102","84","1.511107847251364","53","1.23973562736047","5","1.0","1","1.03775125396231","55","2.333072940712971","119","0.0","0.0"
"transpose","0.06","oddEven","aco","oddEven+aco","uniform","2.0E-4","0.35","0.016","ACO/aj=2.0E-4/a=0.35/rf=0.016","28","20109","68288","0.053060818538962655","61.78864514995314","6.979264292408622","67744","0.05263812223382565","61.91005845536136","6.984087151629665","3.6113671485609102","84","1.511107847251364","53","1.23973562736047","5","1.0","1","1.03775125396231","55","2.333072940712971","119","0.0","0.0"
"transpose","0.06","oddEven","aco","oddEven+aco","uniform","2.0E-4","0.35","0.032","ACO/aj=2.0E-4/a=0.35/rf=0.032","29","20112","68288","0.053052903739061255","66.9412341846298","6.979264292408622","67744","0.05263027048528242","67.08803731695797","6.984087151629665","3.8426858791449323","94","1.5915778430549727","53","1.2437599664288712","5","1.0","1","1.0638832483293688","55","2.8654041010298745","156","0.0","0.0"
"transpose","0.06","oddEven","aco","oddEven+aco","uniform","2.0E-4","0.35","0.064","ACO/aj=2.0E-4/a=0.35/rf=0.064","32","20158","68288","0.052931838476039286","82.8340704076851","6.979264292408622","67744","0.05251016965968846","83.01327054794521","6.984087151629665","4.4338561912246375","176","1.8707427612253462","128","1.242150650440621","5","1.0","1","1.1671849535071388","117","4.162388963785111","262","0.0","0.0"
"transpose","0.06","oddEven","aco","oddEven+aco","uniform","2.0E-4","0.4","5.0E-4","ACO/aj=2.0E-4/a=0.4/rf=5.0E-4","29","20109","68288","0.053060818538962655","61.78864514995314","6.979264292408622","67744","0.05263812223382565","61.91005845536136","6.984087151629665","3.6113671485609102","84","1.511107847251364","53","1.23973562736047","5","1.0","1","1.03775125396231","55","2.333072940712971","119","0.0","0.0"
